,Título,Preço
195,"Kit de Engrenagens para Robótica 75 Peças KE75 / Polias, Correias, Cremalheiras e Outros DIY Arduino",44.18
196,Sensor de Nível de Água Arduino - FD10,6.89
197,Sensor de Corrente AC / DC ACS758 100A Efeito Hall,32.78
198,Driver TB6612FNG Duplo Ponte H de Motor DC ou Passo,89.78
199,"Mini Gerador de Energia Hidráulico / Gerador Hidrelétrico para Projetos - 8,8V a 15V DC",138.65
200,Controlador PWM para Velocidade de Motores 3 a 35V 5A ZS-X4B,19.86
201,Sensor de Distância VL53L0X / WCMCU-531 de Alta Precisão,41.71
202,Polia GT2 16 Dentes Furo 5mm Para Correia De 6mm em Impressora 3D CNC,12.87
203,Disco Encoder para projetos com carrinhos robóticos,5.61
204,Módulo Chave Fim Curso / Sensor de\xa0Impacto Arduino para Projetos,10.36
205,Sensor Ultrassônico JSN-SR04T a Prova Dágua + Módulo para Arduino,72.68
206,Sensor de Velocidade Arduino / Sensor de Contagem - Chave Óptica para Encoder 5mm,9.41
207,Transmissor RF 433MHz + Receptor RF com Chip Super Heteródino + Antenas - STX882,37.91
208,Sensor de Chama / Fogo Infravermelho 5mm,7.93
209,Caixa Patola PB-108 TE para Montagem 34 x 75 x 116 mm,15.11
210,Módulo Matriz de LED 8X8 Vermelho MAX7219 + Jumpers,28.83
211,Mangueira de Gotejamento Microtubo para Irrigação 1/4 - Venda por Metro,5.94
212,Bico Gotejador Regulável 1/4 0-40 L/h 8 Furos,2.51
213,Display OLED 0.96 I2C 128x64 Branco para Arduino,34.11
214,Sensor de Cor para Arduino - TCS230,85.41
215,"Eletroimã / Solenóide 20mm 2,5Kg",53.96
216,Módulo GSM Arduino SIM800L GPRS/SMS Quad-Band com slot para SIM,55.96
217,Conversor de Corrente para Tensão 4-20mA para 0-3.3V/5V/10V - XY10,24.61
218,Bico Nebulizador com Ajuste de Vazão + Conector T 1/4,5.61
219,Módulo MP3 Arduino DFPlayer Mini,21.76
220,Mini Solenóide 12V NF Tipo Tranca JF-0520B,47.41
221,Suporte para Packs de Bateria 18650 Encaixável - Kit com 4 Unidades,11.31
222,Imã De Neodímio N50 Super Forte 20mm X 3mm,15.87
223,Display LCD Nokia 5110 para Arduino - 84x48 pixels,36.58
224,Amplificador de Instrumentação AD620 3V ~ 12V,43.61
225,Módulo Gerador de Pulso Frequência NE555 para Arduino - 1Hz a 200kHz,9.88
226,Kit Arduino Universitário Parland UN10 + Guia de Projetos,230.32
227,Driver Controlador para motor DC - IRF520,12.83
228,Sensor de Tensão AC Zmpt101b / Voltímetro Arduino,28.41
229,Kit Arduino Avançado Parland KS10 + Guia de Projetos,265.27
230,Módulo LED RGB - ML-016,5.49
231,Sensor Sharp GP2Y0A02YK0F / Sensor Infravermelho de Longo Alcance para Arduino - 20 a 150cm + Cabo JST,69.83
232,Cabo Jumper 3 Pinos 70cm Fêmea/Fêmea para Impressora 3D,4.94
233,Cartão RFID 13.56MHz - Kit com 5 unidades,22.71
234,Módulo Display 7 Segmentos 2 Dígitos Vermelho 74HC595,17.96
235,Esfera Deslizante 3PI para Carro Robô,10.48
236,Motor DC 3-6V 90° 200RPM com Caixa de Redução em L  48:1,18.91
237,Módulo Diodo Laser Arduino Vermelho com LED de Alta Potência 5MW,11.31
238,"Micromotor DC 12V N20 com Caixa de Redução - 3V:50RPM, 6V:100RPM, 12V:200RPM",49.31
239,Conector RJ45 Fêmea CAT5e,9.98
240,Gerador de Sinal PWM LCD com Duty Cycle e Frequência Ajustável 1Hz-150Khz,54.06
241,Servo Motor MG996R Tower Pro 180° 11kgf.cm de Posição com Engrenagens Metálicas,62.61
242,Potenciômetro Digital 10K X9C103S,28.41
243,Multiplexador TCA9548A I2C 1 a 8 Canais,14.16
244,Tomada Fêmea com Interruptor e Porta Fusível para Impressora 3D e CNC 250VAC 10A,28.83
245,Sensor de Umidade e Temperatura SHT20 com Sonda À Prova dÁgua - KLDZ88,189.53
246,Mini Motor DC N20 para Projetos,11.88
247,Módulo Conversor USB para TTL CP2102,21.76
248,Shield Data Logger Arduino com RTC DS1307 para Registro de Dados,33.82
249,EasyDriver V44 A3967 para Motor de Passo,20.35
250,Pluviômetro de Báscula Digital Arduino para Estação Meteorológica - PB10,445.55
251,Rolamento Linear 8mm LM8UU para Impressora 3D e CNC,9.98
252,Motor Vibracall Redondo para Projetos Maker Diy - MV30,6.89
253,Sensor de Linha Infravermelho com Ajuste de Sensibilidade,12.26
254,Mini Sensor PIR de Movimento HC-SR505 100°,14.20
255,Case para Arduino Mega com Parafusos em Acrílico Transparente,32.21
256,Buzzer Ativo 3V Bip Contínuo PCI 12mm,3.71
257,Sensor de Toque Capacitivo Arduino - ST235,9.45
258,Caixa Patola AD-01 para Montagem 30 x 104 x 68 mm,15.87
259,Radar Doppler RCWL-0516 Sensor de Movimento por Microondas para Arduino,10.42
260,Sensor de Corrente Não Invasivo 100A SCT013 - Saída 50mA,78.71
261,Porca Recartilhada M3 para Mesa Aquecida de Impressora 3D,4.65
262,Dimmer 2000W / Regulador De Tensão Elétrica SCR 50-220VAC,36.96
263,Cremalheira para Robótica 125mm - CR15,5.61
264,Sensor de Pressão e Temperatura BMP280,13.59
265,Módulo Buzzer Ativo com jumper,14.67
266,Sensor de Linha Infravermelho 4 Sondas,19.86
267,Teclado Matricial para Arduino - 04 teclas,8.46
268,Sinaleiro Olho de Boi 220V para Painéis de Indicação - Verde,4.78
269,Micro Rolamento MR63 ZZ Blindado,4.49
270,Módulo Sensor de Vibração SW-18015 para Arduino,13.21
271,Sensor GY-87 10 DOF - Acelerômetro e Giroscópio MPU-6050 / Magnetômetro HMC5883L / Barômetro e Temperatura BMP180,78.76
272,Kit Controle Transmissor RF 4 canais + Receptor 315Mhz,32.82
273,Servo Motor tipo Futaba S3003 180º 4.2Kgf.cm de Posição,59.76
274,Display LCD 128x64 Pixels com Fundo Azul,122.46
275,Carrinho Arduino MDF 4WD 200RPM V2 com Micro Servo Motor e Eixo Móvel Kit Chassi + Manual de Montagem,175.59
276,Tomada Tripolar Macho para Painéis - 10A 250V,3.76
277,Sensor de Turbidez Arduino ST100 + Módulo de Leitura,139.84
278,Micro Servo 9g Tower Pro MG90S 360° 2.2Kgf.cm Rotação Contínua com Engrenagens Metálicas,33.82
279,Display LCD 16x2  I2C com Fundo Verde,39.81
280,"Módulo Buzzer Ativo 3,3V a 5V - BP19",5.89
281,Receptor Infravermelho - P14,11.18
282,Dimmer 4000W / Regulador De Tensão Elétrica SCR10-220VAC,78.19
283,Conversor Digital Analógico DAC - MCP4725,29.36
284,Módulo Relé 12V 10A 16 Canais com Optoacopladores,129.11
285,Sensor de Corrente Não Invasivo 30A SCT013 - Saída 1V,81.51
286,Polia GT2 20 Dentes Furo 8mm Para Correia De 6mm em Impressora 3D CNC,12.87
287,Sensor de Umidade do Solo Arduino HD-38,47.41
288,Caixa Patola / Case para Montagem 53 x 85 x 124 mm - PB-112,19.86
289,Detector de Gás / Sensor de Gás MQ-7 - Monóxido de Carbono,17.96
290,Relé Temporizador Digital XY-J02 Ajustável com Display e Micro USB - 4 Modos de Uso,50.78
291,Sensor de Contagem duplo / Chave Óptica + discos Encoder - HC 020K,62.90.   44.56
292,Bússola Digital HMC5883 / Magnetômetro Três Eixos GY-273,28.41
293,Detector de Gás / Sensor de Gás MQ-9 - Monóxido de Carbono e Gases Inflamáveis,22.42
294,Servo Motor MG996R Tower Pro 360° 11Kgf.cm Rotação Contínua com Engrenagens Metálicas,66.11
295,Cabo para Motor de Passo da Impressora 3D Conector Jumper 4 / JST 6 com 4 Vias,10.36
296,Transceptor SI4463 HC12 RF 433MHz 1000 Metros + Antena,83.70
297,Sensor de Frequência Cardíaca / Sensor de Pulso com Cabo para Arduino,36.81
298,Sensor de Tensão e Corrente MAX471 para Arduino - GY471,25.30
299,Max6675 Módulo de Leitura para Termopar Tipo K,37.91
300,Detector de Gás / Sensor de Gás MQ-4 - Metano e Gás Natural,18.76
301,Conversor Analógico Digital 16 Bits ADC - AD7705,27.46
302,Mini Bobina de Tesla BT15 V2 Microtech Kit Educacional,158.94
303,Detector de Gás / Sensor de Gás MQ-5 - GLP (Gás de Cozinha) e Gás Natural,17.86
304,Suporte para Sensor Ultrassônico - Retangular em Acrílico,16.21
305,Sensor Capacitivo de Proximidade  CR18-8DP PNP NA (Distância Sensora 0 a 8mm),159.70
